Login,IsLegalUser,AuthenticationMethod,IsAuthenticated,N,H_Score,DU_Score,UU_Score,DD_Score,TotalAuthenticationScore
s057,False,Euclidian,True,2,0.02,0.145,0.155,0.134,0.11349999999999999
s057,False,Euclidian,True,2,0.021,0.169,0.171,0.171,0.133
s057,False,Euclidian,True,2,0.027,0.166,0.191,0.163,0.13675
s057,False,Euclidian,True,2,0.018,0.148,0.143,0.135,0.11099999999999999
s057,False,Euclidian,True,2,0.015,0.119,0.133,0.108,0.09375
s057,False,Euclidian,True,2,0.017,0.143,0.149,0.149,0.11449999999999999
s057,False,Euclidian,True,2,0.017,0.119,0.131,0.123,0.0975
s057,False,Euclidian,True,2,0.024,0.2,0.179,0.18,0.14575
s057,False,Euclidian,True,2,0.012,0.151,0.138,0.147,0.11200000000000002
s057,False,Euclidian,True,2,0.011,0.107,0.119,0.11,0.08675
s057,False,Euclidian,True,2,0.018,0.165,0.166,0.155,0.126
s057,False,Euclidian,True,2,0.018,0.134,0.122,0.117,0.09775
s057,False,Euclidian,True,2,0.02,0.134,0.15,0.146,0.11249999999999999
s057,False,Euclidian,True,2,0.023,0.136,0.156,0.157,0.118
s057,False,Euclidian,True,2,0.029,0.098,0.1,0.107,0.0835
s057,False,Euclidian,True,2,0.02,0.188,0.195,0.184,0.14675
s057,False,Euclidian,True,2,0.014,0.176,0.166,0.172,0.132
s057,False,Euclidian,True,2,0.019,0.151,0.141,0.146,0.11424999999999999
s057,False,Euclidian,True,2,0.017,0.128,0.129,0.125,0.09975
s057,False,Euclidian,True,2,0.018,0.194,0.193,0.187,0.14800000000000002
s057,False,Euclidian,True,2,0.024,0.156,0.149,0.148,0.11925
s057,False,Euclidian,True,2,0.02,0.134,0.128,0.12,0.1005
s057,False,Euclidian,True,2,0.035,0.144,0.116,0.117,0.103
s057,False,Euclidian,True,2,0.013,0.114,0.118,0.109,0.0885
s057,True,Euclidian,True,2,0.014,0.126,0.137,0.134,0.10275000000000001
s057,True,Euclidian,True,2,0.01,0.127,0.125,0.129,0.09775
s056,False,Euclidian,False,2,0.018,0.253,0.248,0.256,0.19375
s056,False,Euclidian,True,2,0.026,0.172,0.193,0.189,0.14500000000000002
s056,False,Euclidian,False,2,0.04,0.239,0.277,0.281,0.20925000000000002
s056,False,Euclidian,False,2,0.025,0.243,0.263,0.256,0.19675
s056,False,Euclidian,False,2,0.059,0.236,0.253,0.258,0.2015
s056,False,Euclidian,False,2,0.009,0.312,0.314,0.309,0.236
s056,False,Euclidian,False,2,0.028,0.238,0.268,0.263,0.19925
s056,False,Euclidian,False,2,0.02,0.216,0.229,0.235,0.175
s056,False,Euclidian,False,2,0.032,0.297,0.318,0.307,0.2385
s056,False,Euclidian,False,2,0.018,0.29,0.293,0.292,0.22325
s056,False,Euclidian,False,2,0.026,0.194,0.215,0.208,0.16075
s056,False,Euclidian,False,2,0.018,0.283,0.288,0.289,0.21949999999999997
s056,False,Euclidian,False,2,0.023,0.31,0.326,0.328,0.24675000000000002
s056,False,Euclidian,False,2,0.014,0.248,0.258,0.258,0.1945
s056,False,Euclidian,False,2,0.024,0.225,0.243,0.236,0.182
s056,False,Euclidian,False,2,0.017,0.274,0.29,0.29,0.21775
s056,False,Euclidian,False,2,0.028,0.241,0.231,0.22,0.18
s056,False,Euclidian,False,2,0.037,0.24,0.255,0.257,0.19725
s056,False,Euclidian,False,2,0.024,0.2,0.195,0.204,0.15575
s056,False,Euclidian,False,2,0.057,0.324,0.299,0.304,0.246
s056,False,Euclidian,False,2,0.019,0.283,0.299,0.293,0.22349999999999998
s056,False,Euclidian,False,2,0.018,0.232,0.237,0.225,0.178
s056,False,Euclidian,False,2,0.066,0.455,0.417,0.416,0.33849999999999997
s056,False,Euclidian,False,2,0.016,0.298,0.303,0.316,0.23325
s056,False,Euclidian,False,2,0.05,0.355,0.336,0.356,0.27425
s056,False,Euclidian,False,2,0.023,0.249,0.27,0.263,0.20125
s056,False,Euclidian,False,2,0.057,0.225,0.21,0.216,0.177
s056,False,Euclidian,False,2,0.023,0.32,0.344,0.34,0.25675000000000003
s056,False,Euclidian,False,2,0.068,0.381,0.375,0.373,0.29925
s056,False,Euclidian,False,2,0.016,0.234,0.233,0.235,0.1795
s056,False,Euclidian,False,2,0.028,0.3,0.32,0.322,0.2425
s056,False,Euclidian,False,2,0.029,0.241,0.227,0.233,0.1825
s056,False,Euclidian,False,2,0.012,0.332,0.329,0.335,0.252
s056,False,Euclidian,False,2,0.02,0.345,0.351,0.346,0.26549999999999996
s056,False,Euclidian,False,2,0.031,0.274,0.273,0.277,0.21375000000000002
s056,False,Euclidian,False,2,0.035,0.208,0.212,0.214,0.16724999999999998
s056,False,Euclidian,False,2,0.044,0.26,0.265,0.274,0.21075
s056,False,Euclidian,False,2,0.032,0.248,0.273,0.274,0.20675000000000002
s056,False,Euclidian,False,2,0.021,0.282,0.293,0.285,0.22025
